date,side,raid_type,raid_minutes,entry_minutes,raid_depth_r,leg_bars,leg_size,leg_size_r,entry,stop,risk_pts,entry_inside_ib,entry_proj,stopped,max_proj,minutes_to_1x
2021-04-01,short,sweep,10,20,0.02903225806451613,1,19.0,0.24516129032258063,13291.25,13321.5,30.25,True,1.1710526315789473,False,2.8157894736842106,5.0
2021-04-05,short,close_through,0,140,0.5773672055427251,1,9.25,0.08545034642032333,13564.0,13580.0,16.0,False,1.2162162162162162,True,1.7297297297297298,5.0
2021-04-06,short,close_through,20,90,0.5709459459459459,2,12.0,0.16216216216216217,13636.25,13655.0,18.75,False,1.25,False,8.833333333333334,5.0
2021-04-09,short,close_through,70,230,0.49859154929577465,1,8.0,0.09014084507042254,13779.0,13791.25,12.25,False,1.3125,True,4.15625,5.0
2021-04-12,short,close_through,120,170,0.2873134328358209,4,18.5,0.27611940298507465,13805.0,13828.75,23.75,True,1.0945945945945945,False,3.0945945945945947,5.0
2021-04-12,long,sweep,10,30,0.15671641791044777,3,34.0,0.5074626865671642,13786.5,13732.0,54.5,True,1.2352941176470589,False,2.4779411764705883,5.0
2021-04-13,short,close_through,240,300,0.551829268292683,1,5.25,0.06402439024390244,13983.0,13994.0,11.0,False,1.7142857142857142,False,5.190476190476191,5.0
2021-04-14,long,close_through,25,85,0.8581314878892734,3,39.5,0.5467128027681661,13907.0,13854.25,52.75,False,1.0379746835443038,True,1.3101265822784811,5.0
2021-04-15,short,close_through,0,15,0.18867924528301888,1,6.25,0.09433962264150944,13986.25,14001.75,15.5,True,1.44,True,3.32,5.0
2021-04-16,short,sweep,310,315,0.0029411764705882353,1,8.75,0.10294117647058823,14025.5,14039.0,13.5,True,1.0285714285714285,True,0.0,
2021-04-19,long,close_through,15,45,0.24032586558044808,3,63.5,0.5173116089613035,13941.75,13861.0,80.75,True,1.015748031496063,True,1.0826771653543308,5.0
2021-04-20,long,close_through,10,75,1.707395498392283,1,13.0,0.16720257234726688,13770.25,13719.25,51.0,False,2.3076923076923075,False,5.903846153846154,5.0
2021-04-21,short,close_through,40,115,0.45454545454545453,2,17.75,0.14669421487603307,13852.0,13876.5,24.5,False,1.1549295774647887,True,2.23943661971831,5.0
2021-04-22,short,close_through,0,30,0.39453125,2,11.0,0.171875,13912.5,13944.75,32.25,True,1.7045454545454546,False,20.863636363636363,5.0
2021-04-22,long,close_through,160,215,2.40234375,1,12.75,0.19921875,13740.0,13701.75,38.25,False,1.588235294117647,False,5.647058823529412,5.0
2021-04-23,short,close_through,0,115,1.1168831168831168,2,11.75,0.1525974025974026,13923.0,13939.0,16.0,False,1.148936170212766,True,1.2340425531914894,5.0
2021-04-26,short,close_through,15,100,0.35271317829457366,3,26.0,0.40310077519379844,13958.75,13989.5,30.75,True,1.0288461538461537,True,1.1442307692307692,5.0
2021-04-27,long,sweep,10,80,0.047109207708779445,2,37.0,0.3169164882226981,13968.5,13912.5,56.0,True,1.2364864864864864,False,1.6554054054054055,5.0
2021-04-28,short,sweep,255,320,0.013089005235602094,2,62.75,0.6570680628272252,13890.75,13982.25,91.5,True,1.302788844621514,False,1.3904382470119523,5.0
2021-04-28,long,sweep,90,245,0.07853403141361257,4,36.0,0.3769633507853403,13963.25,13878.0,85.25,True,2.0347222222222223,False,2.5625,5.0
2021-04-29,long,close_through,0,190,0.7396768402154399,4,85.0,0.6104129263913824,13916.25,13818.5,97.75,False,1.0588235294117647,False,1.8176470588235294,5.0
2021-05-03,long,close_through,20,60,0.7797927461139896,2,21.25,0.22020725388601037,13808.5,13775.75,32.75,False,1.2352941176470589,True,1.964705882352941,5.0
2021-05-04,long,close_through,15,180,0.5515970515970516,5,53.5,0.2628992628992629,13456.75,13380.75,76.0,False,1.1074766355140186,False,2.7383177570093458,5.0
2021-05-06,short,close_through,60,165,0.683991683991684,3,50.0,0.4158004158004158,13525.0,13591.25,66.25,False,1.11,True,2.285,5.0
2021-05-10,long,close_through,0,5,0.05787781350482315,1,16.75,0.10771704180064309,13524.25,13493.25,31.0,True,1.5522388059701493,True,1.626865671641791,5.0
2021-05-11,short,close_through,50,115,0.31016731016731014,4,19.5,0.10038610038610038,13297.0,13339.25,42.25,False,1.5384615384615385,True,4.064102564102564,5.0
2021-05-12,long,close_through,0,45,0.5125725338491296,3,55.5,0.42940038684719534,13106.5,13036.0,70.5,True,1.0855855855855856,True,1.1126126126126126,5.0
2021-05-13,short,sweep,25,35,0.07874015748031496,3,41.5,0.32677165354330706,13137.5,13223.75,86.25,True,1.5120481927710843,False,4.891566265060241,5.0
2021-05-13,long,close_through,70,100,0.2263779527559055,1,57.25,0.4507874015748031,13122.75,13058.0,64.75,True,1.0131004366812226,True,1.4366812227074235,5.0
2021-05-14,short,close_through,0,35,0.20947630922693267,1,10.0,0.09975062344139651,13312.0,13330.0,18.0,False,1.5,True,0.0,
