date,direction,bo_minutes,trigger_minutes,depth_at_trigger,dr_size,leg_bars,entry,stop,risk_pts,risk_dr,dist_to_extreme_r,mfe_r,stopped_first,hit_old_extreme,hit_ext_025,hit_ext_05,r_old_extreme,r_ext_025,r_ext_05
2021-04-09,up,80,290,0.2631578947368421,133.0,3,13786.75,13756.25,30.5,0.22932330827067668,0.14754098360655737,1.7377049180327868,False,True,True,False,0.14754098360655737,1.2377049180327868,1.3934426229508197
2021-04-14,down,25,90,0.41899441340782123,134.25,2,13882.5,13910.5,28.0,0.2085661080074488,1.0089285714285714,0.38392857142857145,True,False,False,False,-1.0,-1.0,-1.0
2021-04-15,up,0,305,0.4567901234567901,101.25,2,14011.0,13978.0,33.0,0.32592592592592595,0.4015151515151515,0.7045454545454546,False,True,False,False,0.4015151515151515,0.15151515151515152,0.15151515151515152
2021-04-19,down,15,215,0.4070221066319896,192.25,2,13863.5,13899.25,35.75,0.1859557867360208,1.1888111888111887,0.36363636363636365,True,False,False,False,-1.0,-1.0,-1.0
2021-04-20,down,10,130,0.4144893111638955,210.5,5,13767.5,13806.5,39.0,0.18527315914489312,1.2371794871794872,0.8653846153846154,True,False,False,False,-1.0,-1.0,-1.0
2021-04-22,down,165,260,0.37037037037037035,243.0,2,13759.75,13791.75,32.0,0.13168724279835392,1.8125,1.15625,False,False,False,False,0.2890625,0.2890625,0.2890625
2021-04-26,up,15,110,0.40114613180515757,87.25,2,13975.75,13954.5,21.25,0.24355300859598855,0.6470588235294118,2.376470588235294,False,True,True,False,0.6470588235294118,1.673529411764706,1.8
2021-04-29,down,0,60,0.34225352112676055,177.5,2,13904.75,13944.0,39.25,0.2211267605633803,0.5477707006369427,2.1974522292993632,True,True,True,False,0.5477707006369427,1.678343949044586,-1.0
2021-04-30,down,200,265,0.3738140417457306,131.75,1,13856.5,13874.25,17.75,0.1347248576850095,1.7746478873239437,0.0,True,False,False,False,-1.0,-1.0,-1.0
2021-05-03,down,20,80,0.28093158660844253,171.75,1,13790.75,13824.0,33.25,0.19359534206695778,0.45112781954887216,0.5639097744360902,False,True,False,False,0.45112781954887216,0.007518796992481203,0.007518796992481203
2021-05-04,down,15,195,0.2596991290577989,315.75,4,13437.25,13462.75,25.5,0.08076009501187649,2.215686274509804,0.5784313725490197,True,False,False,False,-1.0,-1.0,-1.0
2021-05-10,down,0,115,0.4400977995110024,204.5,1,13519.25,13543.25,24.0,0.11735941320293398,2.75,6.947916666666667,False,True,True,False,2.75,4.880208333333333,6.791666666666667
2021-05-11,up,50,150,0.35952848722986247,254.5,3,13303.75,13247.75,56.0,0.2200392927308448,0.6339285714285714,1.2857142857142858,False,True,False,False,0.6339285714285714,0.71875,0.71875
2021-05-12,down,0,125,0.25347912524850896,251.5,1,13018.5,13043.75,25.25,0.10039761431411531,1.5247524752475248,0.7326732673267327,True,False,False,False,-1.0,-1.0,-1.0
2021-05-13,down,70,165,0.2805755395683453,173.75,3,13056.25,13098.75,42.5,0.2446043165467626,0.14705882352941177,1.388235294117647,True,True,True,False,0.14705882352941177,1.1691176470588236,-1.0
2021-05-17,down,95,145,0.3951612903225806,124.0,2,13235.75,13268.0,32.25,0.2600806451612903,0.5193798449612403,1.6434108527131783,True,True,True,False,0.5193798449612403,1.4806201550387597,-1.0
2021-05-18,up,0,15,0.2857142857142857,92.75,2,13390.75,13366.25,24.5,0.2641509433962264,0.08163265306122448,0.23469387755102042,True,True,False,False,0.08163265306122448,-1.0,-1.0
2021-05-18,down,240,315,0.46325878594249204,156.5,4,13259.0,13312.5,53.5,0.34185303514376997,0.35514018691588783,1.0327102803738317,False,True,False,False,0.35514018691588783,0.8551401869158879,0.8551401869158879
2021-05-19,up,20,85,0.29819694868238555,180.25,3,13133.0,13096.0,37.0,0.20527045769764216,0.4527027027027027,2.972972972972973,False,True,True,True,0.4527027027027027,1.6706081081081081,2.8885135135135136
2021-05-20,up,0,155,0.26853932584269663,222.5,1,13481.5,13444.0,37.5,0.16853932584269662,0.5933333333333334,1.1,False,True,False,False,0.5933333333333334,0.13333333333333333,0.13333333333333333
