slot,n,P(break),P(revert to mid | break),P(revert before 0.5R ext),P(ext >= 0.5R),P(ext >= 1R),median ext,median retrace
6,1278,0.983,0.6424100156494522,0.4538341158059468,0.666,0.415,0.823,0.759
7,1296,0.998,0.7932098765432098,0.5370370370370371,0.777,0.584,1.237,1.228
