date,range_name,model,side,penetration_pts,penetration_atr,disp_ratio,range_width,rr1.3->mid,extreme->mid,proj25->mid,proj50->mid,rr1.3->opp,extreme->opp,proj25->opp,proj50->opp,extreme 50@q25/50@mid,extreme 50@mid/50@opp,extreme 50@1R/50@2R,proj25 50@q25/50@mid,proj25 50@mid/50@opp,proj25 50@1R/50@2R,proj50 50@q25/50@mid,proj50 50@mid/50@opp,proj50 50@1R/50@2R
2021-04-13,6am,retest,long,2.5,0.5035971223021583,4.195804195804196,37.75,1.3000000000000251,-1.0,2.0,1.0,1.3000000000000251,-1.0,4.0,2.0,-1.0,-1.0,-1.0,1.5,3.0,1.5,0.75,1.5,1.5
2021-04-14,6am,retest,long,5.25,1.2564102564102564,2.057142857142857,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.27380952380952384,-1.0,-1.0,0.5,-1.0,0.5,0.25,-1.0,-1.0
2021-04-14,6am,failure,long,1.0,0.2557077625570776,3.3962264150943398,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,-1.0
2021-04-14,7am,retest,long,1.5,0.37668161434977576,1.6438356164383563,30.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-15,7am,failure,short,0.75,0.21428571428571427,0.9655172413793104,36.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-16,6am,failure,short,0.25,0.11382113821138211,0.4938271604938272,19.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-16,7am,retest,short,28.25,9.646341463414634,7.428571428571429,32.75,-1.0,0.5796460176991151,-1.0,1.0,1.2999999999999567,1.1592920353982301,-1.0,2.0,0.14491150442477876,0.8694690265486725,1.5,0.5,-1.0,0.5,0.25,1.5,1.5
2021-04-19,6am,retest,long,4.25,0.952,0.989010989010989,48.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-20,6am,retest,short,10.0,1.8006430868167203,1.0232558139534884,44.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,-1.0
2021-04-20,7am,retest,short,5.5,1.4528301886792454,2.2857142857142856,33.0,1.2999999999999141,3.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,2.25,1.5,1.5,1.5,1.0,1.5,0.75,0.5,0.5
2021-04-20,7am,failure,short,2.25,0.608695652173913,0.425531914893617,33.0,1.2999999999999141,-1.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,1.0,1.5,0.75,0.5,0.5
2021-04-21,6am,retest,long,3.75,0.9545454545454546,3.0303030303030303,33.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-21,7am,retest,long,6.75,1.7181818181818183,3.0303030303030303,30.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-21,7am,failure,long,1.75,0.48514851485148514,0.7142857142857143,30.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-22,6am,failure,long,2.0,0.42424242424242425,1.1049723756906076,33.0,1.2999999999999141,8.25,2.0,1.0,-1.0,-1.0,-1.0,-1.0,6.1875,4.125,1.5,1.5,1.0,1.5,0.75,0.5,0.5
2021-04-22,7am,retest,short,8.0,1.7707509881422923,2.857142857142857,24.25,1.2999999999999026,1.515625,2.0,1.0,1.3000000000000294,3.03125,-1.0,2.0,1.13671875,0.7578125,0.5,1.5,1.0,1.5,0.75,0.5,0.5
