direction,n,ext_0.25,ext_0.5,ext_1.0,ext_1.5,ext_2.0,failed,failed_before_05,cisd,reached_opposite_after,retest,resumed_after_retest,eod_beyond_edge
down,576,0.764,0.592,0.274,0.141,0.062,0.91,0.812,0.736,0.214,0.95,0.792,0.517
up,619,0.793,0.574,0.202,0.087,0.032,0.884,0.795,0.725,0.176,0.939,0.824,0.607
